# civil-holidays v1
# jurisdiction: CY
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Cyprus
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in el via vacanza's own language support (language='el'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Πρωτοχρονιά                              | 1 1                  | public          |  |  |  |
fixed         | Ημέρα των Θεοφανίων                      | 1 6                  | public          |  |  |  |
easter        | Καθαρά Δευτέρα                           | -48 julian_gregorian_date | public          |  |  |  |
fixed         | Ημέρα της Ελληνικής Ανεξαρτησίας         | 3 25                 | public          |  |  |  |
fixed         | Εθνική Ημέρα Κύπρου                      | 4 1                  | public          |  |  |  |
fixed         | Πρωτομαγιά                               | 5 1                  | public          |  |  |  |
easter        | Μεγάλη Παρασκευή                         | -2 julian_gregorian_date | public          |  |  |  |
easter        | Κυριακή του Πάσχα                        | 0 julian_gregorian_date | public          |  |  |  |
easter        | Δευτέρα της Διακαινησίμου                | 1 julian_gregorian_date | public          |  |  |  |
easter        | Δευτέρα του Αγίου Πνεύματος              | 50 julian_gregorian_date | public          |  |  |  |
fixed         | Κοίμηση της Θεοτόκου                     | 8 15                 | public          |  |  |  |
fixed         | Ημέρα της Κυπριακής Ανεξαρτησίας         | 10 1                 | public          |  |  |  |
fixed         | Ημέρα του Όχι                            | 10 28                | public          |  |  |  |
fixed         | Χριστούγεννα                             | 12 25                | public          |  |  |  |
fixed         | Επομένη Χριστουγέννων                    | 12 26                | public          |  |  |  |
