# civil-holidays v1
# jurisdiction: ES
# source: https://www.boe.es/buscar/act.php?id=BOE-A-2015-11430
#   (Estatuto de los Trabajadores art. 37.2, consolidated BOE text; local copy
#   papers/holidays/es_estatuto_trabajadores_art37_boe.html) for the national
#   fiesta set, and the yearly "relación de fiestas laborales" resolutions of the
#   Dirección General de Trabajo for the per-year national traslado outcomes and
#   the autonomous-community (comunidad autónoma) layer:
#     2023: BOE-A-2022-16755 (papers/holidays/es_boe_BOE-A-2022-16755.html)
#     2024: BOE-A-2023-22014 (papers/holidays/es_boe_BOE-A-2023-22014.html)
#     2025: BOE-A-2024-21316 (papers/holidays/es_boe_BOE-A-2024-21316.html)
#     2026: BOE-A-2025-21667 (papers/holidays/es_boe_BOE-A-2025-21667.html)
#
#   NATIONAL Sunday TRASLADO (deterministic). Estatuto art. 37.2: a national
#   fiesta that falls on a Sunday is moved to the following Monday. This is
#   modelled with the sun_mon observed-shift on the national fixed rules. Across
#   every BOE resolution 2023-2026 this reproduces the published "Lunes siguiente
#   a ..." national entries exactly: Año Nuevo 2023 (Sun 1 Jan -> Mon 2 Jan),
#   Inmaculada 2024 (Sun 8 Dec -> Mon 9 Dec), Fiesta Nacional 2025 (Sun 12 Oct ->
#   Mon 13 Oct), Todos los Santos + Constitución 2026 (Sun -> following day). The
#   BOE resolutions above are the citation/verification of each yearly outcome.
#   NOTE: the vacanza/holidays reference package instead DROPS a Sunday national
#   holiday; we follow the BOE (which shifts it), so those Mondays are documented
#   our-only differential entries in test_holidays_es.py (accuracy over parity).
#
#   REGIONAL layer (comunidad autónoma). Each of the 17 comunidades + Ceuta and
#   Melilla fixes its extra holidays every year by BOE resolution; these are
#   genuine annual decrees, so they are modelled with decree rows carrying the
#   exact per-year dates transcribed from the four BOE tables above (2023-2026,
#   completeness prioritised for 2024-2025). Each community's own regional-day
#   traslado is merged into that day's decree (e.g. Día de Asturias 2024 -> 9 Sep,
#   the Monday after Sunday 8 Sep). The nationwide "Lunes siguiente a [national]"
#   BOE rows are NOT duplicated here — they are the national traslado above.
#   Subdivision codes are ISO 3166-2:ES.
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid
#
# --- national fiestas laborales (Estatuto de los Trabajadores art. 37.2) ---
fixed  | Año Nuevo                       | 1 1   | public          |  | sun_mon
fixed  | Epifanía del Señor              | 1 6   | public religious |  | sun_mon
easter | Viernes Santo                   | -2    | public religious |  |
fixed  | Fiesta del Trabajo              | 5 1   | public          |  | sun_mon
fixed  | Asunción de la Virgen           | 8 15  | public religious |  | sun_mon
fixed  | Fiesta Nacional de España       | 10 12 | public          |  | sun_mon
fixed  | Todos los Santos                | 11 1  | public religious |  | sun_mon
fixed  | Día de la Constitución Española | 12 6  | public          |  | sun_mon
fixed  | Inmaculada Concepción           | 12 8  | public religious |  | sun_mon
fixed  | Natividad del Señor             | 12 25 | public religious |  | sun_mon
#
# --- autonomous-community (comunidad autónoma) layer: BOE decree tables ---
# --- Andalucía (ES-AN) ---
decree | Día de Andalucía | 2023-2-28 2024-2-28 2025-2-28 2026-2-28 | regional | ES-AN |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-AN |
# --- Aragón (ES-AR) ---
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-AR |
decree | San Jorge/Día de Aragón | 2023-4-24 2024-4-23 2025-4-23 2026-4-23 | regional religious | ES-AR |
# --- Asturias (ES-AS) ---
decree | Día de Asturias | 2023-9-8 2024-9-9 2025-9-8 2026-9-8 | regional | ES-AS |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-AS |
# --- Illes Balears (ES-IB) ---
decree | Día de les Illes Balears | 2023-3-1 2024-3-1 2025-3-1 2026-3-2 | regional | ES-IB |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-IB |
decree | Lunes de Pascua | 2023-4-10 2024-4-1 2026-4-6 | regional religious | ES-IB |
decree | San Esteban | 2025-12-26 2026-12-26 | regional religious | ES-IB |
# --- Canarias (ES-CN) ---
decree | Día de Canarias | 2023-5-30 2024-5-30 2025-5-30 2026-5-30 | regional | ES-CN |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-CN |
# --- Cantabria (ES-CB) ---
decree | Día de las Instituciones de Cantabria | 2023-7-28 2025-7-28 2026-7-28 | regional | ES-CB |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-CB |
decree | La Bien Aparecida | 2023-9-15 2025-9-15 2026-9-15 | regional religious | ES-CB |
decree | Lunes de Pascua | 2024-4-1 | regional religious | ES-CB |
decree | Santiago Apóstol/Día Nacional de Galicia | 2024-7-25 | regional religious | ES-CB |
# --- Castilla-La Mancha (ES-CM) ---
decree | Corpus Christi | 2023-6-8 2024-5-30 2025-6-19 2026-6-4 | regional religious | ES-CM |
decree | Día de Castilla-La Mancha | 2023-5-31 2024-5-31 2025-5-31 | regional | ES-CM |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-CM |
decree | Lunes de Pascua | 2026-4-6 | regional religious | ES-CM |
# --- Castilla y León (ES-CL) ---
decree | Fiesta de Castilla y León | 2024-4-23 2025-4-23 2026-4-23 | regional | ES-CL |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-CL |
decree | Santiago Apóstol/Día Nacional de Galicia | 2023-7-25 | regional religious | ES-CL |
# --- Cataluña (ES-CT) ---
decree | Fiesta Nacional de Cataluña | 2023-9-11 2024-9-11 2025-9-11 2026-9-11 | regional | ES-CT |
decree | Lunes de Pascua | 2023-4-10 2024-4-1 2025-4-21 2026-4-6 | regional religious | ES-CT |
decree | San Esteban | 2023-12-26 2024-12-26 2025-12-26 2026-12-26 | regional religious | ES-CT |
decree | San Juan | 2023-6-24 2024-6-24 2025-6-24 2026-6-24 | regional religious | ES-CT |
# --- Extremadura (ES-EX) ---
decree | Día de Extremadura | 2023-9-8 2025-9-8 2026-9-8 | regional | ES-EX |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-EX |
decree | Martes de Carnaval | 2023-2-21 2024-2-13 | regional | ES-EX |
# --- Galicia (ES-GA) ---
decree | Día de las Letras Gallegas | 2023-5-17 2024-5-17 2025-5-17 | regional | ES-GA |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-GA |
decree | San José | 2026-3-19 | regional religious | ES-GA |
decree | San Juan | 2026-6-24 | regional religious | ES-GA |
decree | Santiago Apóstol/Día Nacional de Galicia | 2023-7-25 2024-7-25 2025-7-25 2026-7-25 | regional religious | ES-GA |
# --- Comunidad de Madrid (ES-MD) ---
decree | Fiesta de la Comunidad de Madrid | 2023-5-2 2024-5-2 2025-5-2 2026-5-2 | regional | ES-MD |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-MD |
decree | San José | 2023-3-20 | regional religious | ES-MD |
decree | Santiago Apóstol/Día Nacional de Galicia | 2024-7-25 2025-7-25 | regional religious | ES-MD |
# --- Región de Murcia (ES-MC) ---
decree | Día de la Región de Murcia | 2023-6-9 2025-6-9 2026-6-9 | regional | ES-MC |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-MC |
decree | San José | 2024-3-19 2025-3-19 2026-3-19 | regional religious | ES-MC |
# --- C. Foral de Navarra (ES-NC) ---
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-NC |
decree | Lunes de Pascua | 2023-4-10 2024-4-1 2025-4-21 2026-4-6 | regional religious | ES-NC |
decree | San José | 2026-3-19 | regional religious | ES-NC |
decree | Santiago Apóstol/Día Nacional de Galicia | 2023-7-25 2024-7-25 2025-7-25 | regional religious | ES-NC |
# --- País Vasco (ES-PV) ---
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-PV |
decree | Lunes de Pascua | 2023-4-10 2024-4-1 2025-4-21 2026-4-6 | regional religious | ES-PV |
decree | San José | 2026-3-19 | regional religious | ES-PV |
decree | Santiago Apóstol/Día Nacional de Galicia | 2023-7-25 2024-7-25 2025-7-25 2026-7-25 | regional religious | ES-PV |
# --- La Rioja (ES-RI) ---
decree | Día de La Rioja | 2023-6-9 2024-6-10 2025-6-9 2026-6-9 | regional | ES-RI |
decree | Jueves Santo | 2023-4-6 2024-3-28 2025-4-17 2026-4-2 | regional religious | ES-RI |
decree | Lunes de Pascua | 2023-4-10 2024-4-1 2025-4-21 2026-4-6 | regional religious | ES-RI |
# --- Comunitat Valenciana (ES-VC) ---
decree | Día de la Comunitat Valenciana | 2023-10-9 2024-10-9 2025-10-9 2026-10-9 | regional | ES-VC |
decree | Lunes de Pascua | 2023-4-10 2024-4-1 2025-4-21 2026-4-6 | regional religious | ES-VC |
decree | San José | 2024-3-19 2025-3-19 2026-3-19 | regional religious | ES-VC |
decree | San Juan | 2023-6-24 2024-6-24 2025-6-24 2026-6-24 | regional religious | ES-VC |
# --- Ceuta (ES-CE) ---
