# civil-holidays v1
# jurisdiction: HK
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Hongkong
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in zh_HK via vacanza's own language support (language='zh_HK'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | 一月一日                                     | 1 1                  | public          |  |  |  |
decree        | 農曆年初一                                    | 2024-2-10 2025-1-29  | public          |  |  |  |
decree        | 農曆年初三                                    | 2024-2-12 2025-1-31  | public          |  |  |  |
decree        | 農曆年初四                                    | 2024-2-13            | public          |  |  |  |
fixed         | 清明節                                      | 4 4                  | public          |  |  |  |
fixed         | 勞動節                                      | 5 1                  | public          |  |  |  |
decree        | 佛誕                                       | 2024-5-15 2025-5-5   | public          |  |  |  |
decree        | 端午節                                      | 2024-6-10 2025-5-31  | public          |  |  |  |
fixed         | 香港特別行政區成立紀念日                             | 7 1                  | public          |  |  |  |
decree        | 中秋節翌日                                    | 2024-9-18 2025-10-7  | public          |  |  |  |
fixed         | 國慶日                                      | 10 1                 | public          |  |  |  |
decree        | 重陽節                                      | 2024-10-11 2025-10-29 | public          |  |  |  |
fixed         | 聖誕節                                      | 12 25                | public          |  |  |  |
fixed         | 聖誕節後第一個周日                                | 12 26                | public          |  |  |  |
decree        | 農曆年初二                                    | 2025-1-30            | public          |  |  |  |
