# civil-holidays v1
# jurisdiction: KY
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Cayman_Islands
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_GB via vacanza's own language support (language='en_GB'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
decree        | National Heroes Day                      | 2024-1-22 2025-1-27 2026-1-26 2027-1-25  | public          |  |  |  |
easter        | Ash Wednesday                            | -46 gregorian        | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
decree        | Emancipation Day                         | 2024-5-6 2025-5-5 2026-5-4 2027-5-3    | public          |  |  |  |
decree        | Discovery Day                            | 2024-5-20 2025-5-19 2026-5-18 2027-5-17  | public          |  |  |  |
decree        | King's Birthday                          | 2024-6-17 2025-6-23 2026-6-22 2027-6-21  | public          |  |  |  |
decree        | Constitution Day                         | 2024-7-1 2025-7-7 2026-7-6 2027-7-5    | public          |  |  |  |
decree        | Remembrance Day                          | 2024-11-11 2025-11-10 2026-11-09 2027-11-08 | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |
decree        | General Election Day                     | 2025-4-30            | public          |  |  |  |
