# civil-holidays v1
# jurisdiction: MK
# source: https://en.wikipedia.org/wiki/Public_holidays_in_North_Macedonia
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in mk via vacanza's own language support (language='mk'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Нова Година                              | 1 1                  | public          |  |  |  |
fixed         | Божиќ                                    | 1 7                  | public          |  |  |  |
decree        | Божиќ (неработен ден)                    | 2024-1-8             | public          |  |  |  |
decree        | Рамазан Бајрам                           | 2024-4-10 2025-3-30  | public          |  |  |  |
decree        | Ден на изборите (1)                      | 2024-4-24            | public          |  |  |  |
fixed         | Ден на трудот                            | 5 1                  | public          |  |  |  |
easter        | Велигден                                 | 1 julian_gregorian_date | public          |  |  |  |
decree        | Ден на изборите (2)                      | 2024-5-8             | public          |  |  |  |
fixed         | Светите Кирил и Методиј - Ден на сесловенските просветители | 5 24                 | public          |  |  |  |
fixed         | Ден на Републиката                       | 8 2                  | public          |  |  |  |
fixed         | Ден на независноста                      | 9 8                  | public          |  |  |  |
decree        | Ден на независноста (неработен ден)      | 2024-9-9             | public          |  |  |  |
fixed         | Ден на народното востание                | 10 11                | public          |  |  |  |
fixed         | Ден на македонската револуционерна борба | 10 23                | public          |  |  |  |
fixed         | Свети Климент Охридски                   | 12 8                 | public          |  |  |  |
decree        | Свети Климент Охридски (неработен ден)   | 2024-12-9            | public          |  |  |  |
decree        | Рамазан Бајрам (неработен ден)           | 2025-3-31            | public          |  |  |  |
