# civil-holidays v1
# jurisdiction: NG
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Nigeria
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest
#   fallback id.tab/cn.tab already use for Imlek/Nyepi/shift days -- silent
#   outside those years rather than fabricated. 调休-style workday-bridge
#   ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                     | 1 1                 | public          |  |  |  |
easter        | Good Friday                        | -2                  | public          |  |  |  |
easter        | Easter Monday                      | 1                   | public          |  |  |  |
decree        | Id el Fitr                         | 2024-4-10 2025-3-30 | public          |  |  |  |
decree        | Id el Fitr Holiday                 | 2024-4-11 2025-3-31 | public          |  |  |  |
fixed         | Workers' Day                       | 5 1                 | public          |  |  |  |
fixed         | Democracy Day                      | 6 12                | public          |  |  |  |
decree        | Id el Kabir                        | 2024-6-16 2025-6-6  | public          |  |  |  |
decree        | Id el Kabir Holiday                | 2024-6-17 2025-6-7  | public          |  |  |  |
decree        | Id el Maulud                       | 2024-9-16 2025-9-5  | public          |  |  |  |
fixed         | National Day                       | 10 1                | public          |  |  |  |
fixed         | Christmas Day                      | 12 25               | public          |  |  |  |
fixed         | Boxing Day                         | 12 26               | public          |  |  |  |
decree        | Id el Kabir (observed)             | 2024-6-18           | public          |  |  |  |
decree        | Id el Fitr (observed)              | 2025-4-1            | public          |  |  |  |
decree        | Id el Kabir Holiday (observed)     | 2025-6-9            | public          |  |  |  |
decree        | Day of Mourning for President Muhammadu Buhari| 2025-7-15           | public          |  |  |  |
