# civil-holidays v1
# jurisdiction: PS
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Palestine
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in ar via vacanza's own language support (language='ar'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | رأس السنة الميلادي                       | 1 1                  | public          |  |  |  |
fixed         | عيد الميلاد المجيد الشرقي                | 1 7                  | public          |  |  |  |
decree        | ذكرى الإسراء والمعراج                    | 2024-2-8 2025-1-27   | public          |  |  |  |
fixed         | يوم المراة العالمي                       | 3 8                  | public          |  |  |  |
decree        | عيد الفصح المجيد (1)                     | 2024-3-31            | public          |  |  |  |
decree        | عيد الفطر السعيد (1)                     | 2024-4-10 2025-3-30  | public          |  |  |  |
decree        | عيد الفطر السعيد (2)                     | 2024-4-11 2025-3-31  | public          |  |  |  |
decree        | عيد الفطر السعيد (3)                     | 2024-4-12 2025-4-1   | public          |  |  |  |
fixed         | عيد العمال                               | 5 1                  | public          |  |  |  |
decree        | عيد الفصح المجيد (2)                     | 2024-5-5             | public          |  |  |  |
decree        | عيد الأضحى المبارك (1)                   | 2024-6-16 2025-6-6   | public          |  |  |  |
decree        | عيد الأضحى المبارك (2)                   | 2024-6-17 2025-6-7   | public          |  |  |  |
decree        | عيد الأضحى المبارك (3)                   | 2024-6-18 2025-6-8   | public          |  |  |  |
decree        | عيد الأضحى المبارك (4)                   | 2024-6-19 2025-6-9   | public          |  |  |  |
decree        | رأس السنة الهجرية                        | 2024-7-7 2025-6-26   | public          |  |  |  |
decree        | ذكرى المولد النبوي الشريف                | 2024-9-15 2025-9-4   | public          |  |  |  |
fixed         | عيد الإستقلال                            | 11 15                | public          |  |  |  |
fixed         | عيد الميلاد المجيد الغربي                | 12 25                | public          |  |  |  |
decree        | عيد الفصح المجيد                         | 2025-4-20            | public          |  |  |  |
