# civil-holidays v1
# jurisdiction: TR
# source: Act No. 2429 on National Holidays and General Holidays (19 March 1981),
#   tabulated at https://en.wikipedia.org/wiki/Public_holidays_in_Turkey
# retrieved: 2026-07-21
# notes:
#   Fixed national days plus the two Islamic feasts. Ramazan Bayrami (Eid al-Fitr)
#   is 3 days from 1 Shawwal; Kurban Bayrami (Eid al-Adha) is 4 days from 10 Dhu
#   al-Hijja (both also have a half-day eve, not modelled). Islamic dates resolve
#   through islamic_civil (arithmetic); Turkey's Diyanet civil calendar can differ
#   by +/-1 day from the tabular date (the observation caveat).
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# Names are the official Turkish (tr) names, spelled with full diacritics.
# --- fixed national ---
fixed         | Yılbaşı                                                | 1 1   | public |  |
fixed         | Ulusal Egemenlik ve Çocuk Bayramı                      | 4 23  | public |  |
fixed         | Emek ve Dayanışma Günü                                 | 5 1   | public |  |
fixed         | Atatürk'ü Anma, Gençlik ve Spor Bayramı                | 5 19  | public |  |
fixed         | Demokrasi ve Millî Birlik Günü                         | 7 15  | public |  |
fixed         | Zafer Bayramı                                          | 8 30  | public |  |
fixed         | Cumhuriyet Bayramı                                     | 10 29 | public |  |
#
# --- Islamic (islamic_civil; +/-1 observation caveat) ---
calendar_date | Ramazan Bayramı | islamic_civil 10 1  | public religious |  |
calendar_date | Ramazan Bayramı | islamic_civil 10 2  | public religious |  |
calendar_date | Ramazan Bayramı | islamic_civil 10 3  | public religious |  |
calendar_date | Kurban Bayramı  | islamic_civil 12 10 | public religious |  |
calendar_date | Kurban Bayramı  | islamic_civil 12 11 | public religious |  |
calendar_date | Kurban Bayramı  | islamic_civil 12 12 | public religious |  |
calendar_date | Kurban Bayramı  | islamic_civil 12 13 | public religious |  |
