# civil-holidays v1
# jurisdiction: US
# source: https://en.wikipedia.org/wiki/Federal_holidays_in_the_United_States
#   (OPM list, 5 U.S.C. 6103; observed rule: Sat -> preceding Fri, Sun -> following Mon)
#   Juneteenth National Independence Day became a federal holiday only when the
#   Juneteenth National Independence Day Act was signed 17 June 2021 (see the
#   cited page), so its rule carries a "2021-" validity range.
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# --- federal (public) holidays ---
fixed       | New Year's Day                       | 1 1     | public          |  | us
nth_weekday | Birthday of Martin Luther King, Jr.  | 1 3 0   | public          |  |
nth_weekday | Washington's Birthday                | 2 3 0   | public          |  |
nth_weekday | Memorial Day                         | 5 -1 0  | public          |  |
fixed       | Juneteenth National Independence Day | 6 19    | public          |  | us | 2021-
fixed       | Independence Day                     | 7 4     | public          |  | us
nth_weekday | Labor Day                            | 9 1 0   | public          |  |
nth_weekday | Columbus Day                         | 10 2 0  | public          |  |
fixed       | Veterans Day                         | 11 11   | public          |  | us
nth_weekday | Thanksgiving Day                     | 11 4 3  | public          |  |
fixed       | Christmas Day                        | 12 25   | public religious|  | us
