# civil-holidays v1
# jurisdiction: VN
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Vietnam
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest
#   fallback id.tab/cn.tab already use for Imlek/Nyepi/shift days -- silent
#   outside those years rather than fabricated. 调休-style workday-bridge
#   ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Tết Dương lịch                     | 1 1                 | public          |  |  |  |
decree        | 29 Tết                             | 2024-2-8 2025-1-27  | public          |  |  |  |
decree        | Giao thừa Tết Nguyên Đán           | 2024-2-9 2025-1-28  | public          |  |  |  |
decree        | Tết Nguyên Đán                     | 2024-2-10 2025-1-29 | public          |  |  |  |
decree        | Mùng hai Tết Nguyên Đán            | 2024-2-11 2025-1-30 | public          |  |  |  |
decree        | Mùng ba Tết Nguyên Đán             | 2024-2-12 2025-1-31 | public          |  |  |  |
decree        | Mùng bốn Tết Nguyên Đán            | 2024-2-13 2025-2-1  | public          |  |  |  |
decree        | Mùng năm Tết Nguyên Đán            | 2024-2-14           | public          |  |  |  |
decree        | Ngày Giỗ Tổ Hùng Vương             | 2024-4-18 2025-4-7  | public          |  |  |  |
fixed         | Ngày Chiến thắng                   | 4 30                | public          |  |  |  |
fixed         | Ngày Quốc tế Lao động              | 5 1                 | public          |  |  |  |
decree        | Quốc khánh                         | 2024-9-2 2024-9-3 2025-9-1 2025-9-2| public          |  |  |  |
decree        | Ngày nghỉ (thay cho ngày 04/05/2024)| 2024-4-29           | public          |  |  |  |
