# civil-holidays v1
# jurisdiction: YE
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Yemen
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest
#   fallback id.tab/cn.tab already use for Imlek/Nyepi/shift days -- silent
#   outside those years rather than fabricated. 调休-style workday-bridge
#   ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
decree        | عيد الفطر                          | 2024-4-8 2024-4-9 2024-4-10 2024-4-11 2024-4-12 2025-3-29 2025-3-30 2025-3-31 2025-4-1| public          |  |  |  |
decree        | عيد الفطر (يوم تعويضي)             | 2024-4-14           | public          |  |  |  |
fixed         | عيد العمال                         | 5 1                 | public          |  |  |  |
fixed         | اليوم الوطني للجمهورية اليمنية     | 5 22                | public          |  |  |  |
decree        | عيد الأضحى                         | 2024-6-15 2024-6-16 2024-6-17 2024-6-18 2024-6-19 2025-6-5 2025-6-6 2025-6-7 2025-6-8 2025-6-9| public          |  |  |  |
decree        | عيد رأس السنة الهجرية              | 2024-7-7 2025-6-26  | public          |  |  |  |
fixed         | ثورة 26 سبتمبر المجيدة             | 9 26                | public          |  |  |  |
fixed         | ثورة 14 أكتوبر المجيدة             | 10 14               | public          |  |  |  |
fixed         | عيد الجلاء                         | 11 30               | public          |  |  |  |
decree        | عيد الأضحى (يوم تعويضي تقديري)     | 2025-6-10           | public          |  |  |  |
decree        | ثورة 26 سبتمبر المجيدة (يوم تعويضي)| 2025-9-28           | public          |  |  |  |
