# civil-holidays v1
# jurisdiction: ZA
# source: https://en.wikipedia.org/wiki/Public_holidays_in_South_Africa
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest
#   fallback id.tab/cn.tab already use for Imlek/Nyepi/shift days -- silent
#   outside those years rather than fabricated. 调休-style workday-bridge
#   ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                     | 1 1                 | public          |  |  |  |
fixed         | Human Rights Day                   | 3 21                | public          |  |  |  |
easter        | Good Friday                        | -2                  | public          |  |  |  |
easter        | Family Day                         | 1                   | public          |  |  |  |
fixed         | Freedom Day                        | 4 27                | public          |  |  |  |
fixed         | Workers' Day                       | 5 1                 | public          |  |  |  |
fixed         | Youth Day                          | 6 16                | public          |  |  |  |
fixed         | National Women's Day               | 8 9                 | public          |  |  |  |
fixed         | Heritage Day                       | 9 24                | public          |  |  |  |
fixed         | Day of Reconciliation              | 12 16               | public          |  |  |  |
fixed         | Christmas Day                      | 12 25               | public          |  |  |  |
fixed         | Day of Goodwill                    | 12 26               | public          |  |  |  |
decree        | National and Provincial Government Elections| 2024-5-29           | public          |  |  |  |
decree        | Youth Day (observed)               | 2024-6-17           | public          |  |  |  |
decree        | Freedom Day (observed)             | 2025-4-28           | public          |  |  |  |
